,event_date,provider_account,total_price,total_price_usd,facebook-ads,google-ads,tiktok-ads,pinterest-ads,snapchat-ads,amazon
0,2022-04-05,beauty_shop_1,78426.270000000,78426.270000000,24984.810000000,4133.500474000,0,0,0,0
0,2022-04-06,beauty_shop_1,96710.380000000,96710.380000000,24442.480000000,2839.845988000,0,0,0,0
0,2022-04-07,beauty_shop_1,83417.200000000,83417.200000000,23097.620000000,2593.945368000,0,0,0,0
0,2022-04-08,beauty_shop_1,129647.040000000,129647.040000000,21943.030000000,3441.476449000,0,0,0,0
0,2022-04-09,beauty_shop_1,136459.400000000,136459.400000000,18456.480000000,3554.949208000,0,0,0,0
0,2022-04-10,beauty_shop_1,141524.370000000,141524.370000000,18150.490000000,2776.705918000,0,0,0,0
0,2022-04-11,beauty_shop_1,125969.910000000,125969.910000000,21362.790000000,3069.002099000,0,0,0,0
0,2022-04-12,beauty_shop_1,99978.790000000,99978.790000000,23194.640000000,3441.989794000,0,0,0,0
0,2022-04-13,beauty_shop_1,109404.240000000,109404.240000000,25946.960000000,3528.838642000,0,0,0,0
0,2022-04-14,beauty_shop_1,95197.460000000,95197.460000000,25517.730000000,3494.401436000,0,0,0,0
0,2022-04-15,beauty_shop_1,125467.810000000,125467.810000000,25867.570000000,4235.067199000,0,0,0,0
0,2022-04-16,beauty_shop_1,88492.500000000,88492.500000000,21846.630000000,3153.639887000,0,0,0,0
0,2022-04-17,beauty_shop_1,67788.810000000,67788.810000000,20682.670000000,3253.922908000,0,0,0,0
0,2022-04-18,beauty_shop_1,72242.660000000,72242.660000000,19050.520000000,3967.994466000,0,0,0,0
0,2022-04-19,beauty_shop_1,80513.240000000,80513.240000000,17307.110000000,2633.649171000,0,0,0,0
0,2022-04-20,beauty_shop_1,60956.710000000,60956.710000000,16475.490000000,2741.666244000,0,0,0,0
0,2022-04-21,beauty_shop_1,62499.020000000,62499.020000000,15692.900000000,2732.581967000,0,0,0,0
0,2022-04-22,beauty_shop_1,74646.240000000,74646.240000000,16719.930000000,2712.611341000,0,0,0,0
0,2022-04-23,beauty_shop_1,78636.130000000,78636.130000000,19942.320000000,2776.777918000,0,0,0,0
0,2022-04-24,beauty_shop_1,71098.660000000,71098.660000000,24659.540000000,2650.454843000,0,0,0,0
0,2022-04-25,beauty_shop_1,102181.590000000,102181.590000000,19854.990000000,2977.465601000,738.600000000,0,0,0
0,2022-04-26,beauty_shop_1,76375.380000000,76375.380000000,18346.280000000,3004.784590000,817.880000000,0,0,0
0,2022-04-27,beauty_shop_1,79562.300000000,79562.300000000,19934.260000000,2765.716081000,813.810000000,0,0,0
0,2022-04-28,beauty_shop_1,115950.830000000,115950.830000000,19548.440000000,2892.430230000,819.130000000,0,0,0
0,2022-04-29,beauty_shop_1,91323.100000000,91323.100000000,19472.030000000,2268.492131000,811.880000000,0,0,0
0,2022-04-30,beauty_shop_1,84159.550000000,84159.550000000,20128.600000000,3163.043842000,813.160000000,0,0,0
0,2022-05-01,beauty_shop_1,73713.210000000,73713.210000000,22169.190000000,2747.328582000,819.190000000,0,0,0
0,2022-05-02,beauty_shop_1,67738.750000000,67738.750000000,19967.200000000,2993.666536000,814.020000000,0,0,0
0,2022-05-03,beauty_shop_1,221101.040000000,221101.040000000,29506.300000000,3163.727524000,809.030000000,0,0,0
0,2022-05-04,beauty_shop_1,191664.940000000,191664.940000000,40375.690000000,3849.948002000,809.640000000,0,0,0
0,2022-05-05,beauty_shop_1,199325.660000000,199325.660000000,32220.010000000,3714.425062000,1093.980000000,0,0,0
0,2022-05-06,beauty_shop_1,159905.070000000,159905.070000000,26756.110000000,3696.892881000,1199.700000000,0,0,0
0,2022-05-07,beauty_shop_1,65481.730000000,65481.730000000,15604.540000000,3169.018786000,519.320000000,0,0,0
0,2022-05-08,beauty_shop_1,53505.750000000,53505.750000000,15130.340000000,3000.137249000,522.410000000,0,0,0
